,titles,artists
0,Next Level,aespa
1,Butter,방탄소년단
2,안녕 (Hello),조이 (JOY)
3,헤픈 우연,헤이즈(Heize)
4,Dun Dun Dance,오마이걸(OH MY GIRL)
5,ASAP,STAYC(스테이씨)
6,운전만해 (We Ride),브레이브걸스(Brave Girls)
7,상상더하기,라붐(LABOUM)
8,"Peaches (feat. Daniel Caesar, Giveon)",Justin Bieber(저스틴 비버)
9,롤린 (Rollin'),브레이브걸스(Brave Girls)
10,라일락,아이유(IU)
11,Je T′aime,조이 (JOY)
12,Off My Face,Justin Bieber(저스틴 비버)
13,마.피.아. In the morning,ITZY (있지)
14,좋을텐데 (If Only) (Feat. 폴킴),조이 (JOY)
15,Dynamite,방탄소년단
16,Timeless,SG워너비
17,I Love U,성시경
18,Celebrity,아이유(IU)
19,Day By Day,조이 (JOY)
20,Happy Birthday To You,조이 (JOY)
21,WE GO,프로미스나인
22,라라라,SG워너비
23,Kiss Me More (feat. SZA),Doja Cat(도자 캣)
24,내 손을 잡아,아이유(IU)
25,체념,"정상동기 (김정수, 정기석, 이동휘, 이상이)"
26,Save,NCT 127
27,서울의 잠 못 이루는 밤 (Feat. 이수현),10CM
28,어푸 (Ah puh),아이유(IU)
29,Coin,아이유(IU)
30,그럴때마다 (Be There For You),조이 (JOY)
31,If You Love Me (Feat. 주헌 (몬스타엑스)),NS Yoon-G
32,Loving You Girl (feat. Hkeem),Peder Elias
33,Where Are We Now,마마무(Mamamoo)
34,"사이렌 Remix (Feat. UNEDUCATED KID, Paul Blanco)",호미들
35,그냥 안아달란 말야,다비치
36,Black Mamba,aespa
37,내사람: Partner For Life,SG워너비
38,멜로디,ASH ISLAND
39,처음처럼 (Feat. 개리),헤이즈(Heize)
40,Life Goes On,방탄소년단
41,0X1=LOVESONG (I Know I Love You) feat. Seori,투모로우바이투게더
42,Blueming,아이유(IU)
43,캥거루,원슈타인
44,작은 것들을 위한 시 (Boy With Luv) (Feat. Halsey),방탄소년단
45,너를 사랑했던 시간,성시경
46,Savage Love (Laxed - Siren Beat) (BTS Remix),Jawsh 685
47,맛 (Hot Sauce),NCT DREAM
48,Leave The Door Open,Bruno Mars(브루노 마스)
49,꽃이 예뻐봤자 뭐해,신용재 (2F)
50,고래 (Dive Into You),NCT DREAM
51,Like 1999,Valley
52,Dolphin,오마이걸(OH MY GIRL)
53,감기 (Feat. 창모),헤이즈(Heize)
54,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악동뮤지션)
55,별빛 같은 나의 사랑아,임영웅
56,parachute,John K
57,미안해 널 사랑해 (Feat. 김필),헤이즈(Heize)
58,에잇(Prod.&Feat. SUGA of BTS),아이유(IU)
59,"친구, 그 오랜시간",정승환
60,Lovesick Girls,BLACKPINK
61,"LOVE DAY (2021) (바른연애 길잡이 X 양요섭, 정은지)",양요섭
62,On The Ground,로제(ROSÉ)
63,신호등,이무진
64,밤하늘의 별을(2020),경서
65,Save Your Tears (Remix),The Weeknd(위켄드)
66,지금,조영남
67,Little Bit of Love,Tom Grennan(톰 그레넌)
68,At My Worst,Pink Sweat$
69,우리 한 때 사랑한 건,성시경
70,밝게 빛나는 별이 되어 비춰줄게,송이한
71,만약에,"M.O.M (별루지, 강창모, 박재정, 원슈타인)"
72,그때 그 아인,김필(Kim Feel)
73,2002,Anne-Marie(앤 마리)
74,흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야,장범준
75,Beautiful Mistakes,Maroon 5(마룬 파이브)
76,취기를 빌려 (취향저격 그녀 X 산들),산들
77,12:45 (Stripped),Etham
78,피날레 (Show And Prove),비투비
79,불어온다,하이라이트(Highlight)
80,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴(Paul Kim)
81,살짝 설렜어 (Nonstop),오마이걸(OH MY GIRL)
82,아이와 나의 바다,아이유(IU)
83,잠이 오질 않네요,장범준
84,밤편지,아이유(IU)
85,빗물에게 들으니 (Feat. 안예은),헤이즈(Heize)
86,Leave Before You Love Me,Marshmello(마시멜로)
87,그대를 사랑하는 10가지 이유(2021),이석훈
88,나랑 같이 걸을래 (바른연애 길잡이 X 적재),적재
89,닫힌엔딩 (Closed Ending),숀(SHAUN)
90,비도 오고 그래서 (Feat. 신용재),헤이즈(Heize)
91,희재,성시경
92,살다가,SG워너비
93,너의 발걸음에 빛을 비춰줄게 (Prod. 조영수),케이시
94,Love poem,아이유(IU)
95,봄날,방탄소년단
96,이 밤을 빌려 말해요 (바른연애 길잡이 X 10CM),10CM
97,Flu,아이유(IU)
98,Bang!,AJR
